Date_Format;Celsius
20820;-6.62
20820;-6.63
20820;-6.64
20820;-6.66
20820;-6.69
20820;-6.73
20820;-6.76
20820;-6.79
20820;-6.82
20820;-6.86
20820;-6.9
20820;-6.95
20820;-6.99
20820;-7.04
20820;-7.08
20820;-7.1
20820;-7.09
20820;-7.08
20820;-7.08
20820;-7.07
20820;-7.06
20820;-7.07
20820;-7.09
20820;-7.12
20820;-7.15
20820;-7.17
20820;-7.2
20820;-7.22
20820;-7.26
20820;-7.29
20820;-7.32
20820;-7.35
20820;-7.38
20820;-7.41
20820;-7.43
20820;-7.45
20820;-7.46
20820;-7.48
20820;-7.5
20820;-7.51
20820;-7.5
20820;-7.49
20820;-7.48
20820;-7.48
20820;-7.47
20820;-7.4
20820;-7.26
20820;-7.12
20820;-6.99
20820;-6.85
20820;-6.71
20820;-6.52
20820;-6.28
20820;-6.03
20820;-5.79
20820;-5.55
20820;-5.3
20820;-5.04
20820;-4.76
20820;-4.48
20820;-4.2
20820;-3.93
20820;-3.65
20820;-3.4
20820;-3.19
20820;-2.99
20820;-2.78
20820;-2.57
20820;-2.36
20820;-2.19
20820;-2.07
20820;-1.94
20820;-1.82
20820;-1.69
20820;-1.57
20820;-1.5
20820;-1.48
20820;-1.47
20820;-1.45
20820;-1.44
20820;-1.42
20820;-1.49
20820;-1.64
20820;-1.8
20820;-1.95
20820;-2.11
20820;-2.26
20820;-2.46
20820;-2.71
20820;-2.96
20820;-3.21
20820;-3.46
20820;-3.71
20820;-3.89
20820;-3.98
20820;-4.07
20820;-4.17
20820;-4.26
20820;-4.35
20820;-4.43
20820;-4.48
20820;-4.54
20820;-4.59
20820;-4.65
20820;-4.7
20820;-4.74
20820;-4.77
20820;-4.79
20820;-4.81
20820;-4.83
20820;-4.85
20820;-4.87
20820;-4.87
20820;-4.87
20820;-4.88
20820;-4.88
20820;-4.88
20820;-4.88
20820;-4.86
20820;-4.85
20820;-4.84
20820;-4.82
20820;-4.81
20820;-4.8
20820;-4.78
20820;-4.77
20820;-4.75
20820;-4.74
20820;-4.73
20820;-4.71
20820;-4.69
20820;-4.67
20820;-4.66
20820;-4.64
20820;-4.62
20820;-4.6
20820;-4.59
20820;-4.57
20820;-4.55
20820;-4.53
20820;-4.52
20820;-4.5
20820;-4.47
20820;-4.45
20821;-4.43
20821;-4.41
20821;-4.39
20821;-4.36
20821;-4.35
20821;-4.33
20821;-4.31
20821;-4.29
20821;-4.27
20821;-4.24
20821;-4.22
20821;-4.19
20821;-4.16
20821;-4.14
20821;-4.11
20821;-4.08
20821;-4.06
20821;-4.03
20821;-4.01
20821;-3.98
20821;-3.96
20821;-3.93
20821;-3.9
20821;-3.87
20821;-3.84
20821;-3.81
20821;-3.78
20821;-3.75
20821;-3.72
20821;-3.69
20821;-3.66
20821;-3.63
20821;-3.6
20821;-3.56
20821;-3.52
20821;-3.48
20821;-3.44
20821;-3.4
20821;-3.36
20821;-3.32
20821;-3.28
20821;-3.24
20821;-3.2
20821;-3.15
20821;-3.11
20821;-3.05
20821;-2.98
20821;-2.9
20821;-2.82
20821;-2.75
20821;-2.67
20821;-2.57
20821;-2.45
20821;-2.33
20821;-2.21
20821;-2.09
20821;-1.97
20821;-1.83
20821;-1.67
20821;-1.51
20821;-1.34
20821;-1.18
20821;-1.02
20821;-0.86
20821;-0.71
20821;-0.56
20821;-0.41
20821;-0.26
20821;-0.11
20821;-0.01
20821;0.05
20821;0.11
20821;0.17
20821;0.23
20821;0.29
20821;0.31
20821;0.28
20821;0.26
20821;0.23
20821;0.21
20821;0.18
20821;0.14
20821;0.08
20821;0.02
20821;-0.03
20821;-0.09
20821;-0.15
20821;-0.2
20821;-0.26
20821;-0.31
20821;-0.37
20821;-0.42
20821;-0.47
20821;-0.52
20821;-0.55
20821;-0.59
20821;-0.62
20821;-0.66
20821;-0.69
20821;-0.76
20821;-0.87
20821;-0.97
20821;-1.08
20821;-1.18
20821;-1.29
20821;-1.4
20821;-1.51
20821;-1.62
20821;-1.73
20821;-1.83
20821;-1.94
20821;-2.01
20821;-2.03
20821;-2.05
20821;-2.08
20821;-2.1
20821;-2.12
20821;-2.12
20821;-2.11
20821;-2.09
20821;-2.08
20821;-2.06
20821;-2.05
20821;-2.03
20821;-2
20821;-1.98
20821;-1.96
20821;-1.94
20821;-1.92
20821;-1.91
20821;-1.93
20821;-1.94
20821;-1.96
20821;-1.98
20821;-1.99
20821;-2.01
20821;-2.02
20821;-2.04
20821;-2.05
20821;-2.06
20821;-2.08
20821;-2.09
20821;-2.11
20821;-2.13
20822;-2.14
20822;-2.16
20822;-2.17
20822;-2.17
20822;-2.16
20822;-2.14
20822;-2.13
20822;-2.11
20822;-2.09
20822;-2.08
20822;-2.07
20822;-2.07
20822;-2.06
20822;-2.05
20822;-2.04
20822;-2.04
20822;-2.05
20822;-2.06
20822;-2.07
20822;-2.08
20822;-2.09
20822;-2.1
20822;-2.12
20822;-2.14
20822;-2.16
20822;-2.18
20822;-2.2
20822;-2.21
20822;-2.21
20822;-2.21
20822;-2.21
20822;-2.21
20822;-2.21
20822;-2.21
20822;-2.19
20822;-2.18
20822;-2.16
20822;-2.15
20822;-2.13
20822;-2.11
20822;-2.09
20822;-2.06
20822;-2.04
20822;-2.01
20822;-1.99
20822;-1.93
20822;-1.85
20822;-1.77
20822;-1.69
20822;-1.6
20822;-1.52
20822;-1.41
20822;-1.28
20822;-1.14
20822;-1
20822;-0.87
20822;-0.73
20822;-0.59
20822;-0.46
20822;-0.32
20822;-0.18
20822;-0.04
20822;0.1
20822;0.22
20822;0.3
20822;0.39
20822;0.48
20822;0.57
20822;0.66
20822;0.71
20822;0.74
20822;0.76
20822;0.78
20822;0.81
20822;0.83
20822;0.83
20822;0.81
20822;0.79
20822;0.77
20822;0.75
20822;0.73
20822;0.69
20822;0.64
20822;0.59
20822;0.54
20822;0.49
20822;0.44
20822;0.4
20822;0.36
20822;0.32
20822;0.28
20822;0.24
20822;0.2
20822;0.17
20822;0.16
20822;0.14
20822;0.12
20822;0.11
20822;0.09
20822;0.07
20822;0.06
20822;0.04
20822;0.02
20822;0
20822;-0.01
20822;-0.03
20822;-0.05
20822;-0.08
20822;-0.1
20822;-0.12
20822;-0.14
20822;-0.16
20822;-0.19
20822;-0.21
20822;-0.23
20822;-0.25
20822;-0.27
20822;-0.29
20822;-0.3
20822;-0.31
20822;-0.32
20822;-0.33
20822;-0.34
20822;-0.35
20822;-0.35
20822;-0.34
20822;-0.34
20822;-0.34
20822;-0.34
20822;-0.33
20822;-0.31
20822;-0.3
20822;-0.28
20822;-0.26
20822;-0.25
20822;-0.22
20822;-0.19
20822;-0.16
20822;-0.13
20822;-0.1
20822;-0.07
20822;-0.05
20822;-0.02
20822;0.01
20823;0.03
20823;0.06
20823;0.09
20823;0.12
20823;0.15
20823;0.18
20823;0.21
20823;0.24
20823;0.28
20823;0.31
20823;0.34
20823;0.37
20823;0.4
20823;0.42
20823;0.45
20823;0.48
20823;0.49
20823;0.51
20823;0.52
20823;0.54
20823;0.55
20823;0.56
20823;0.57
20823;0.58
20823;0.58
20823;0.59
20823;0.6
20823;0.6
20823;0.61
20823;0.61
20823;0.62
20823;0.62
20823;0.62
20823;0.63
20823;0.63
20823;0.64
20823;0.64
20823;0.64
20823;0.65
20823;0.65
20823;0.66
20823;0.66
20823;0.67
20823;0.67
20823;0.68
20823;0.7
20823;0.75
